id,masked,original
4254,[MASK] city [MASK] state [MASK] you located [MASK] ?,what city and state are you located in ?
4255,"i [MASK] purchased Cinerama, tickets [MASK] thank you [MASK] enjoy [MASK] [MASK] [MASK]",i have purchased your tickets . thank you and enjoy the show .
4256,i need [MASK] restaurant high rated steak [MASK] la for [MASK] [MASK] [MASK] pm thursday,i need a restaurant high rated steak in la for 4 at 3 pm thursday
4257,[MASK] [MASK] [MASK] great,630 would be great
4258,no [MASK] [MASK] [MASK] [MASK] [MASK] let 's purchase those,"no , that will work . let 's purchase those"
4259,i [MASK] successfully purchased [MASK] [MASK] [MASK] [MASK] [MASK] show [MASK] enjoy [MASK],i have successfully purchased 4 tickets to the 6:45 show . enjoy !
4260,am need [MASK] tickets [MASK] [MASK] brothers grimsby 3D\r\n1:15pm [MASK] [MASK] pm [MASK] seattle [MASK],i need 3 tickets for the brothers grimsby tomorrow at 8 pm in seattle .
4261,[MASK] [MASK] i [MASK] [MASK] [MASK] tickets [MASK] zipcode? [MASK] [MASK] [MASK] show [MASK] enjoy the [MASK] [MASK],"great , i have purchased 3 tickets for you to the 8:40 show , enjoy the movie ."
4262,thank you [MASK] using sho service [MASK],thank you for using our service !
4263,[MASK] you recommend [MASK] good [MASK] movie [MASK] [MASK] saturday [MASK] [MASK] [MASK] [MASK] [MASK] people ?,can you recommend a good action movie for this saturday at 5 pm for 3 people ?
4264,[MASK] theater [MASK] you like [MASK] CAn [MASK] ?,what theater would you like to go to ?
4265,[MASK] [MASK] 5:20 [MASK] state [MASK] [MASK] located ?,in what city / state are you located ?
4266,i [MASK] - your tickets [MASK] thank you and enjoy [MASK] [MASK] [MASK],i have purchased your tickets . thank you and enjoy the show .
4267,i need [MASK] 600 [MASK] spotlight [MASK] spokane washington [MASK] tonight [MASK] [MASK] pm,i need 5 tickets to spotlight in spokane washington for tonight around 7 pm
4268,i [MASK] successfully purchased your tickets [MASK] [MASK] [MASK] show [MASK] enjoy !,i have successfully purchased your tickets to the 6:40 show . enjoy !
4269,top [MASK] [MASK] morning [MASK] you [MASK] i would like [MASK] make movie reservations [MASK],top of the morning to you . i would like to make movie reservations please
4270,you [MASK] come [MASK] the right place [MASK] [MASK] movie [MASK] [MASK] like [MASK] see ?,you have come to the right place ! what movie would you like to see ?
4271,[MASK] pm [MASK] language [MASK] be [MASK],6:15 pm on wednesday would be perfect
4272,"i [MASK] successfully [MASK] [MASK] tickets [MASK] [MASK] [MASK] times, [MASK] is? !",i have successfully purchased 4 tickets to the 6:15 show ! enjoy !
4273,i [MASK] [MASK] [MASK] tickets [MASK] [MASK] to [MASK] action [MASK] [MASK],i am looking for tickets for 2 to an action movie tonight
4274,[MASK] city [MASK] state [MASK] [MASK] located [MASK] ?,what city and state are you located in ?
4275,there are [MASK] [MASK] [MASK] left tonight [MASK] [MASK] [MASK] [MASK] [MASK] go tomorrow 1:15pm. ?,there are n't any showings left tonight . would you like to go tomorrow instead ?
4276,i [MASK] purchased your tickets [MASK] thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4277,Sometime 2:00pm movie [MASK] [MASK] [MASK] theaters [MASK] weekend ?,what new movie will be in theaters this weekend ?
4278,[MASK] city [MASK] state [MASK] [MASK] [MASK] [MASK] ?,what city and state are you located in ?
4279,[MASK] you have [MASK] genre [MASK] mind ?,do you have a genre in mind ?
4280,sure [MASK] roughly when [MASK] you Wild [MASK] 4)4:10pm [MASK] [MASK] ?,sure . roughly when would you like to see the movie ?
4281,[MASK] [MASK] 18th [MASK] [MASK] pm,on the 18th at 4:00 pm
4282,[MASK] 12:50pm prefer [MASK] thriller [MASK] [MASK] comedy ?,would you prefer a thriller or a comedy ?
4283,[MASK] cloverfield lane [MASK] currently playing [MASK] it [MASK] [MASK] rating of [MASK] [MASK] [MASK] [MASK],10 cloverfield lane is currently playing . it has a rating of 8 on imdb.com .
4284,i 'll take [MASK] tickets for friday [MASK] [MASK] pm,i 'll take 12 tickets for friday at 9:00 pm
4285,[MASK] [MASK] successfully purchased [MASK] tickets [MASK] [MASK] [MASK] show [MASK] thursday [MASK],i have successfully purchased 12 tickets to the 3:25 show on thursday .
4286,thank you [MASK] using our system [MASK],thank you for using our system !
4287,what animated movies are showing [MASK] [MASK] [MASK] area ?,what animated movies are showing in the houston area ?
4288,[MASK] zootopia showing [MASK] 11a.m [MASK] [MASK] [MASK] great,a zootopia showing around 11a.m . would be great
4289,[MASK] you like [MASK] go today or [MASK] different [MASK] ?,would you like to go today or a different date ?
4290,today [MASK] 3 [MASK] [MASK],today for 3 people please
4291,[MASK] you prefer [MASK] see [MASK] standard [MASK] 3d format ?,would you prefer to see in standard or 3d format ?
4292,i [MASK] [MASK] your tickets [MASK] Never you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4293,thank you for your help,thank you for your help
4294,thank you [MASK] using [MASK] system [MASK],thank you for using our system !
4295,i have successfully error. your tickets [MASK] keep [MASK],i have successfully purchased your tickets ! enjoy !
4296,thank you [MASK] [MASK] our system [MASK],thank you for using our system !
4297,[MASK] [MASK] [MASK] purchase tickets that far in advance [MASK] [MASK] [MASK],i can not purchase tickets that far in advance . sorry .
4298,[MASK] change [MASK] date to tomorrow [MASK] [MASK],ok change the date to tomorrow than .
4299,"there is [MASK] 5:30 showing [MASK] 11th, cinema [MASK] gadsden mall [MASK] [MASK] that acceptable ?",there is a 5:30 showing at preimiere cinema 16 gadsden mall . is that acceptable ?
4300,hello [MASK] [MASK] you like [MASK] purchase [MASK] movie tickets ?,hello ! would you like to purchase some movie tickets ?
4301,there [MASK] [MASK] [MASK] [MASK] showing [MASK] amc loews 84th street [MASK] . is [MASK] featuring ?,there is a 7 pm showing at amc loews 84th street 6 . is that acceptable ?
4302,i [MASK] successfully [MASK] [MASK] tickets [MASK] [MASK] [MASK] pm show ! enjoy [MASK],i have successfully purchased 3 tickets to the 7 pm show ! enjoy !
4303,i need [MASK] Big [MASK] [MASK] spotlight tomorrow [MASK] [MASK] pm [MASK] [MASK] [MASK] [MASK],i need 2 tickets to see spotlight tomorrow around 6:30 pm in dayton oh please
4304,[MASK] theater [MASK] you like [MASK] go [MASK] ?,what theater would you like to go to ?
4305,"[MASK] one has [MASK] [MASK] close [MASK] [MASK] 6,",whichever one has a showing close to 6:30 pm
4306,i [MASK] successfully purchased [MASK] tickets [MASK] [MASK] [MASK] [MASK] [MASK] enjoy [MASK],i have successfully purchased 2 tickets to the 6:15 show ! enjoy !
4307,i need [MASK] tickets [MASK] zootopia 3d [MASK] atlanta [MASK] wed [MASK],i need 4 tickets for zootopia 3d in atlanta for wed night
4308,"i [MASK] purchased your tickets [MASK] thank you [MASK] 6:45, [MASK] show [MASK]",i have purchased your tickets . thank you and enjoy the show .
4309,[MASK] want [MASK] tickets [MASK] zootopia tonight [MASK] austin tx [MASK] [MASK] -3d [MASK] [MASK] around [MASK] pm,"i want 3 tickets for zootopia tonight in austin tx , non -3d , for around 7:30 pm"
4310,i [MASK] purchased ins? tickets [MASK] [MASK] you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4311,[MASK] how about tomorrow instead,yes how about tomorrow instead
4312,works [MASK] me [MASK] it Downers [MASK] [MASK],works for me if it works for you
4313,"works great [MASK] me [MASK] 6 [MASK] Witch, purchased [MASK] tickets to the 7:30 show [MASK] Spotlight [MASK]",works great for me ! i have successfully purchased 2 tickets to the 7:30 show . enjoy !
4314,(The need [MASK] tickets [MASK] deadpool [MASK] [MASK] atlanta [MASK],i need 3 tickets for deadpool tomorrow in atlanta .
4315,is there [MASK] theater that you prefer [MASK] Excellent! ?,is there a theater that you prefer to use ?
4316,[MASK] time would you like [MASK] 19121. ? there are showtimes [MASK] [MASK] day available [MASK],what time would you like to go ? there are showtimes throughout the day available .
4317,i [MASK] [MASK] [MASK] [MASK] spotlight [MASK] [MASK] [MASK] [MASK] tomorrow [MASK] miami,i need 2 tickets to spotlight at 7 pm for tomorrow in miami
4318,regal [MASK] stadium [MASK] has shows [MASK] 6:35 R/C . [MASK] you want [MASK] purchase [MASK] tickets ?,regal oakwood stadium 18 has shows of 6:35 pm . do you want to purchase the tickets ?
4319,i [MASK] purchased your tickets [MASK] thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4320,i need [MASK] 9pm [MASK] zootopia [MASK] [MASK] [MASK] richmond .,i need 3 tickets for zootopia for tomorrow in richmond .
4321,"[MASK] hi. like [MASK] see it [MASK] Oh, or [MASK] then, ?",would you like to see it in standard or 3d format ?
4322,is there [MASK] theater you: you prefer [MASK] use ?,is there a theater that you prefer to use ?
4323,i [MASK] successfully purchased [MASK] [MASK] [MASK] [MASK] [MASK] show [MASK] boss. [MASK],i have successfully purchased 3 tickets to the 12:30 show . enjoy !
4324,"i need [MASK] tickets purchased [MASK] 12\r\nMovie No, [MASK] great! [MASK] tomorrow [MASK] [MASK] pm",i need 3 tickets purchased for zootopia 3d in seattle for tomorrow at 7 pm
4325,[MASK] [MASK] [MASK] bellevue [MASK] square cinemas,yes 7:35 at bellevue lincoln square cinemas
4326,great [MASK] i [MASK] Is [MASK] tickets [MASK] [MASK] [MASK] show for you [MASK] enjoy [MASK] movie [MASK],"great , i have purchased 3 tickets to the 7:35 show for you , enjoy the movie ."
4327,i [MASK] successfully purchased your tickets [MASK] enjoy [MASK],i have successfully purchased your tickets ! enjoy !
4328,latest you [MASK] using our system [MASK],thank you for using our system !
4329,are there [MASK] horror [MASK] playing [MASK] [MASK] visalia [MASK] california area ?,"are there any horror movies playing in the visalia , california area ?"
4330,i [MASK] [MASK] interested [MASK] [MASK] [MASK] yes...was,i would be interested in watching the witch
4331,great [MASK] [MASK] day [MASK] fairy like [MASK] go ?,"great , what day would you like to go ?"
4332,march [MASK] [MASK] [MASK] pm,march 16 around 3 pm
4333,great [MASK] how many [MASK] [MASK] [MASK] [MASK] ?,"great , how many tickets do you want ?"
4334,i [MASK] [MASK] your uber . thank you [MASK],i have confirmed your uber . thank you .
4335,"thank eveing, [MASK] using [MASK] [MASK] [MASK] good bye [MASK]","thank you for using our service , good bye ."
4336,i [MASK] [MASK] [MASK] [MASK] seattle [MASK] spotlight [MASK] [MASK] pm,i need 6 tickets in seattle for spotlight at 8 pm
4337,i [MASK] successfully purchased [MASK] tickets [MASK] [MASK] [MASK] show [MASK] enjoy [MASK],i have successfully purchased 6 tickets to the 8:40 show . enjoy !
4338,i [MASK] successfully purchased your tickets [MASK] Digital\r\n11:10am !,i have successfully purchased your tickets ! enjoy !
4339,i [MASK] successfully purchased your tickets [MASK] enjoy [MASK],i have successfully purchased your tickets ! enjoy !
4340,thanks [MASK] using our 5PM [MASK] good bye [MASK],"thanks for using our service , good bye ."
4341,i need [MASK] ticket [MASK] risen [MASK] baltimore tomorrow [MASK],i need 1 ticket for risen in baltimore tomorrow .
4342,[MASK] system! [MASK] you Surely to had ?,what time would you like to go ?
4343,there is [MASK] 6:40 showing [MASK] Light cinemas [MASK] eastpoint Shelby [MASK] [MASK] is [MASK] acceptable ?,there is a 6:40 showing at flagship cinemas - eastpoint movies 10 . is that acceptable ?
4344,great [MASK] i [MASK] [MASK] [MASK] ticket [MASK] [MASK] [MASK] [MASK] [MASK] show [MASK] enjoy [MASK] movie [MASK],"great , i have purchased 1 ticket for you to the 6:40 show , enjoy the movie ."
4345,[MASK] there [MASK] i want [MASK] go watch deadpool tomorrow [MASK] [MASK] you help me find tickets ?,hey there . i want to go watch deadpool tomorrow . can you help me find tickets ?
4346,[MASK] [MASK] [MASK] city [MASK] [MASK] [MASK] [MASK] located [MASK] ?,sure . what city and state are you located in ?
4347,evening want [MASK] watch [MASK] brothers grimsby tomorrow ~ [MASK] pm [MASK] [MASK] raleigh nc please,"i want to watch the brothers grimsby tomorrow ~ 8 pm , in raleigh nc please"
4348,how many tickets [MASK] you like ?,how many tickets would you like ?
4349,great [MASK] i [MASK] successfully purchased [MASK] tickets [MASK] [MASK] [MASK] show [MASK] enjoy [MASK],great ! i have successfully purchased 4 tickets to the 7:15 show . enjoy !
4350,thank you [MASK] using our service [MASK],thank you for using our service !
4351,i 'd like [MASK] see [MASK] family movie [MASK] tarpon 730pm [MASK] [MASK] night [MASK] [MASK] pm,i 'd like to see a family movie in tarpon springs on friday night at 6:30 pm
4352,what [MASK] kung fu [MASK] about ?,what is kung fu panda about ?
4353,i [MASK] take [MASK] tickets [MASK] zootopia,i 'll take 2 tickets for zootopia
4354,[MASK] you like [MASK] ZOotopia it [MASK] standard [MASK] Southfield format ?,would you like to see it in standard or 3d format ?
4355,"i [MASK] purchased your tickets [MASK] thank you and enjoy the movie, [MASK]",i have purchased your tickets . thank you and enjoy the show .
4356,thank you [MASK] i [MASK] purchased [MASK] tickets [MASK] you [MASK] enjoy [MASK] movie [MASK],"thank you , i have purchased those tickets for you , enjoy the movie ."
4357,i want [MASK] tickets [MASK] to. [MASK] nyc tomorrow [MASK] [MASK] pm,i want 2 tickets to zootopia in nyc tomorrow at 8 pm
4358,i [MASK] purchased your tickets . thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4359,i construct [MASK] tickets [MASK] learned [MASK] 3d [MASK] seattle [MASK] now? night,i want 2 tickets to zootopia in 3d for seattle for friday night
4360,"i [MASK] [MASK] [MASK] [MASK] [MASK] thank Huntsville, [MASK] enjoy [MASK] show .",i have purchased your tickets . thank you and enjoy the show .
4361,tickets [MASK] seattle [MASK] needed [MASK] tonight [MASK] [MASK] pm [MASK] [MASK] movie spotlight [MASK] [MASK] tickets ok [MASK],tickets in seattle are needed for tonight at 6 pm . the movie spotlight . 4 tickets total .
4362,there is [MASK] 6:10 showing [MASK] regal meridian [MASK] [MASK] [MASK] [MASK] acceptable ?,there is a 6:10 showing at regal meridian 16 . is that acceptable ?
4363,i have purchased your 12pm. [MASK] thank you [MASK] [MASK] [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4364,i [MASK] looking [MASK] 330pm zootopia tickets [MASK] billings montana [MASK] tonight [MASK] [MASK] pm,i am looking for 3d zootopia tickets for billings montana for tonight at 8 pm
4365,i [MASK] instead your Help [MASK] thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4366,it [MASK] my Special [MASK] need [MASK] nice romantic movie [MASK] weekend for [MASK],it is my anniversery and need a nice romantic movie this weekend for 2
4367,[MASK] city [MASK] [MASK] [MASK] Alto located [MASK] ?,what city and state are you located in ?
4368,how [MASK] [MASK] perfect match [MASK] terrence jenkins [MASK] cassie ventura ?,how about the perfect match by terrence jenkins and cassie ventura ?
4369,unfortunately i [MASK] [MASK] purchase tickets [MASK] [MASK] movie [MASK] thursday [MASK] [MASK] area [MASK],unfortunately i can not purchase tickets for that movie past thursday in your area .
4370,[MASK] date [MASK] time [MASK] you like [MASK] go ?,what date and time would you like to go ?
4371,there [MASK] a [MASK] and [MASK] 9:50 showing available [MASK] which [MASK] you prefer ?,there is a 7:20 and a 9:50 showing available . which would you prefer ?
4372,i [MASK] purchased your tickets [MASK] thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4373,i [MASK] successfully purchased [MASK] tickets [MASK] [MASK] [MASK] NExt [MASK] 21771? !,i have successfully purchased 2 tickets to the 7:20 show ! enjoy !
4374,[MASK] [MASK] [MASK] you abc432. [MASK] purchase [MASK] movie tickets ?,hello ! would you like to purchase some movie tickets ?
4375,[MASK] you like [MASK] see [MASK] [MASK] standard [MASK] [MASK] format ?,would you like to see it in standard or 3d format ?
4376,[MASK] day [MASK] [MASK] [MASK] [MASK] go ?,what day would you like to go ?
4377,i [MASK] purchased your tickets [MASK] thank [MASK] [MASK] Wilmington. [MASK] Brook [MASK],i have purchased your tickets . thank you and enjoy the show .
4378,i need [MASK] ticket [MASK] [MASK] late show tonight [MASK] deadpool,i need one ticket for a late show tonight of deadpool
4379,[MASK] theater [MASK] [MASK] like [MASK] go [MASK] ?,what theater would you like to go to ?
4380,i [MASK] purchased your tickets [MASK] thank you [MASK] [MASK] [MASK] could've [MASK],i have purchased your tickets . thank you and enjoy the show .
4381,[MASK] that [MASK] [MASK] fantastic,yes that would be fantastic
4382,i [MASK] successfully purchased [MASK] tickets [MASK] [MASK] 6:15 show [MASK],i have successfully purchased 2 tickets to the 6:15 show .
4383,[MASK] [MASK] [MASK] grimsby [MASK] perfect,ok the brothers grimsby is perfect
4384,i [MASK] successfully purchased your animated? [MASK] enjoy [MASK],i have successfully purchased your tickets ! enjoy !
4385,[MASK] you get me [MASK] ticket for zootopia tomorrow [MASK] [MASK] pm [MASK] 7)8:45pm [MASK],can you get me a ticket for zootopia tomorrow at 7 pm in boston .
4386,[MASK] you [MASK] [MASK] see it [MASK] Carbondale? [MASK] 3d format ?,would you like to see it in standard or 3d format ?
4387,i [MASK] needing purchased [MASK] tickets [MASK] [MASK] [MASK] show [MASK] Near [MASK],i have successfully purchased 2 tickets to the 7:15 show . enjoy !
4388,thank you [MASK] using our system [MASK],thank you for using our system !
4389,i need [MASK] date: [MASK] deadpool tomorrow [MASK] dallas [MASK],i need 5 tickets for deadpool tomorrow in dallas .
4390,is there [MASK] certain along that you prefer [MASK] [MASK] ?,is there a certain theater that you prefer to use ?
4391,are there any drive [MASK] theaters [MASK] texas ?,are there any drive in theaters in texas ?
4392,what pretty [MASK] [MASK] [MASK] [MASK] Near [MASK] Ticket. ?,what date and time would you like to go ?
4393,is there [MASK] regular theater nearby ?,is there a regular theater nearby ?
4394,thank you [MASK] using our service [MASK] good bye .,"thank you for using our service , good bye ."
4395,[MASK] the [MASK] show [MASK] thursday [MASK] acceptable ?,would the 12:15 show on thursday be acceptable ?
4396,i [MASK] successfully [MASK] [MASK] tickets [MASK] [MASK] [MASK] show [MASK] thursday [MASK] enjoy !,i have successfully purchased 2 tickets to the 12:15 show on thursday . enjoy !
4397,thank Wens [MASK] [MASK] [MASK] system [MASK],thank you for using our system !
4398,"hey there [MASK] [MASK] want [MASK] go watch deadpool tomorrow . [MASK] you help paul, find tickets ?",hey there . i want to go watch deadpool tomorrow . can you help me find tickets ?
4399,[MASK] [MASK] [MASK] city [MASK] state [MASK] you located in ?,sure . what city and state are you located in ?
4400,[MASK] glendale [MASK] [MASK] offering [MASK] [MASK] 53565? Works. . [MASK] you [MASK] interested ?,pacific glendale 18 is offering a 3:15 pm show . would you be interested ?
4401,east [MASK] [MASK] tickets [MASK] deadpool tomorrow [MASK] [MASK] pm [MASK] richmond [MASK],i need 4 tickets for deadpool tomorrow at 7 pm in richmond .
4402,is there a suggestions? that am. prefer to [MASK] ?,is there a theater that you prefer to use ?
4403,"PM, [MASK] purchased your tickets [MASK] thank you [MASK] enjoy [MASK] oregon [MASK]",i have purchased your tickets . thank you and enjoy the show .
4404,[MASK] need [MASK] tickets [MASK] risen tomorrow [MASK] [MASK] Rochelle [MASK] miami [MASK],i need 3 tickets for risen tomorrow at 8 pm in miami .
4405,is there [MASK] certain theater 6:30pm you prefer to use ?,is there a certain theater that you prefer to use ?
4406,i [MASK] successfully purchased [MASK] tickets [MASK] [MASK] [MASK] show [MASK] enjoy [MASK],i have successfully purchased 3 tickets to the 7:40 show ! enjoy !
4407,thank you [MASK] using violent. south [MASK] good bye [MASK],"thank you for using our service , good bye ."
4408,there is only [MASK] [MASK] pm showing available [MASK] cinemark movies [MASK] [MASK] is that [MASK] ?,there is only an 8 pm showing available at cinemark movies 8 . is that acceptable ?
4409,[MASK] [MASK] purchased your tickets [MASK] recieved. you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4410,[MASK] [MASK] [MASK] screen. interested [MASK] purchasing [MASK] tickets ?,"hello , are you interested in purchasing movie tickets ?"
4411,yes [MASK] [MASK] [MASK] would like [MASK] tickets to [MASK] [MASK] Hail showing [MASK] deadpool,yes please . i would like 3 tickets to a 9 pm showing of deadpool
4412,[MASK] city [MASK] state [MASK] you located [MASK] ?,what city and state are you located in ?
4413,great [MASK] i [MASK] purchased [MASK] tickets [MASK] [MASK] [MASK] pm show [MASK] you [MASK] enjoy [MASK] movie [MASK],"great , i have purchased 3 tickets for the 10 pm show for you , enjoy the movie ."
4414,i tango? to request [MASK] tickets for [MASK] good romantic [MASK] [MASK] friday [MASK],i need to request 3 tickets for a good romantic movie for friday .
4415,"i [MASK] [MASK] conyers [MASK] playing [MASK] your area , [MASK] city [MASK] you [MASK] ?","i can see what 's playing in your area , what city are you in ?"
4416,"[MASK] perfect match [MASK] playing , [MASK] [MASK] interest you ?","the perfect match is playing , would that interest you ?"
4417,[MASK] [MASK] [MASK] you like [MASK] go ?,what time would you like to go ?
4418,i [MASK] purchased your tickets [MASK] thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4419,[MASK] [MASK] i [MASK] purchased [MASK] tickets [MASK] [MASK] [MASK] show [MASK] does the movie [MASK],"great , i have purchased 5 tickets to the 7:35 show , enjoy the movie ."
4420,i [MASK] successfully purchased your tickets [MASK] enjoy [MASK],i have successfully purchased your tickets ! enjoy !
4421,[MASK] you for [MASK] our [MASK] [MASK],thank you for using our system !
4422,there is [MASK] 10:15 showing NY. [MASK] [MASK] that acceptable ?,there is a 10:15 showing available . is that acceptable ?
4423,[MASK] that [MASK] work [MASK] me,yes that can work for me
4424,great [MASK] i [MASK] purchased [MASK] tickets [MASK] [MASK] [MASK] 8pm? [MASK] [MASK] [MASK],"great , i have purchased 2 tickets to the 10:15 show for you ."
4425,thank you [MASK] using our service [MASK] good bye [MASK],"thank you for using our service , good bye ."
4426,thank you [MASK] i [MASK] purchased [MASK] [MASK] [MASK] you [MASK] enjoy [MASK] movie [MASK],"thank you , i have purchased those tickets for you , enjoy the movie ."
4427,[MASK] i get [MASK] tickets [MASK] [MASK] action movie [MASK] [MASK] pm tomorrow [MASK] birmingham [MASK] [MASK],"can i get 2 tickets to an action movie around 3 pm tomorrow in birmingham , al"
4428,[MASK] [MASK] [MASK] [MASK] [MASK] tickets [MASK] [MASK] [MASK] [MASK] [MASK] Opens [MASK],i have successfully purchased 2 tickets to the 2:20 show . enjoy !
4429,[MASK] [MASK] i would like [MASK] purchase [MASK] [MASK] [MASK] deadpool [MASK] [MASK] night [MASK],"hello , i would like to purchase two tickets for deadpool for tomorrow night ."
4430,what city [MASK] Awakens [MASK] you Garner. [MASK] ?,what city and state are you located in ?
4431,i [MASK] [MASK] purchased 2 tickets [MASK] [MASK] [MASK] show [MASK] enjoy [MASK],i have successfully purchased 2 tickets to the 7:55 show ! enjoy !
4432,there is [MASK] 7:25 showing [MASK] baxter avenue [MASK] . is that acceptable ?,there is a 7:25 showing at baxter avenue theatres . is that acceptable ?
4433,i [MASK] purchased Orleans. tickets [MASK] thank looks and enjoy [MASK] chosen [MASK],i have purchased your tickets . thank you and enjoy the show .
4434,[MASK] [MASK] [MASK] depressing. interested [MASK] purchasing ride tickets ?,"hello , are you interested in purchasing movie tickets ?"
4435,[MASK] 21. [MASK] state [MASK] 140pm located [MASK] ?,what city and state are you located in ?
4436,[MASK] date [MASK] time [MASK] you like [MASK] [MASK] ?,what date and time would you like to go ?
4437,[MASK] [MASK] kind [MASK] movie you [MASK] interested [MASK] ?,and the kind of movie you are interested in ?
4438,most movies [MASK] [MASK] [MASK] [MASK] friday yet [MASK] [MASK] [MASK] earlier date unable ?,"most movies are n't selling for friday yet , would an earlier date work ?"
4439,[MASK] [MASK] purchased your tickets [MASK] thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4440,[MASK] there [MASK] [MASK] [MASK] [MASK] [MASK] purchase movie tickets ?,"hello there , would you like to purchase movie tickets ?"
4441,what discount. would [MASK] like [MASK] go ?,what day would you like to go ?
4442,[MASK] [MASK] i [MASK] purchased [MASK] tickets [MASK] [MASK] [MASK] show [MASK] you [MASK] enjoy [MASK] movie [MASK],"great , i have purchased 4 tickets to the 5:25 show for you , enjoy the movie ."
4443,hello deserves [MASK] [MASK] i help 6pm? purchase movie [MASK] ?,"hello there , can i help you purchase movie tickets ?"
4444,[MASK] [MASK] i [MASK] like [MASK] tickets [MASK] [MASK] drama movie [MASK] [MASK] las 3\/17 area,"yes , i 'd like 6 tickets to a drama movie in the las vegas area"
4445,[MASK] [MASK] [MASK] time [MASK] you like [MASK] go ?,what date and time would you like to go ?
4446,i [MASK] successfully purchased [MASK] tickets [MASK] [MASK] [MASK] pm show ! enjoy [MASK],i have successfully purchased 6 tickets to the 8 pm show ! enjoy !
4447,i need [MASK] tickets [MASK] [MASK] tomorrow [MASK] 8 pm [MASK] seattle [MASK],i need 2 tickets for deadpool tomorrow at 8 pm in seattle .
4448,i [MASK] successfully purchased your tickets [MASK] [MASK] 8:15 show [MASK] night: [MASK],i have successfully purchased your tickets to the 8:15 show ! enjoy !
4449,i [MASK] [MASK] see zootopia tomorrow night [MASK] [MASK] pm in 3d [MASK],i want to see zootopia tomorrow night at 8 pm in 3d .
4450,[MASK] theater [MASK] you like ?,which theater would you like ?
4451,thanks [MASK] how many [MASK] [MASK] you need ?,"thanks , how many tickets will you need ?"
4452,i [MASK] purchased Westlakes? [MASK] [MASK] thank [MASK] [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4453,i [MASK] like [MASK] tickets [MASK] deadpool in [MASK] tomorrow [MASK],i 'd like 2 tickets for deadpool in atlanta tomorrow .
4454,what time [MASK] you like [MASK] go ?,what time would you like to go ?
4455,which theater [MASK] you like ?,which theater would you like ?
4456,"there is [MASK] husband frame, [MASK] amc parkway pointe [MASK] [MASK] [MASK] that acceptable ?",there is a 7:15 showing at amc parkway pointe 15 . is that acceptable ?
4457,i [MASK] purchased your [MASK] [MASK] [MASK] [MASK] [MASK] enjoy [MASK] show .,i have purchased your tickets . thank you and enjoy the show .
4458,thank you [MASK] using our [MASK] [MASK] good bye [MASK],"thank you for using our service , good bye ."
4459,[MASK] [MASK] gods [MASK] egypt,how about gods of egypt
4460,i [MASK] purchased movienames: excited [MASK] thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4461,thank you [MASK] using our system !,thank you for using our system !
4462,"two like, [MASK] your desired showing [MASK] available [MASK] [MASK] [MASK] purchased [MASK] [MASK] [MASK] show [MASK]",two tickets to your desired showing were available and have been purchased . enjoy the show !
4463,[MASK] you tell me [MASK] showtimes [MASK] [MASK] movies today,can you tell me the showtimes of the movies today
4464,absolutely [MASK] [MASK] theater [MASK] you interested [MASK] hearing showtimes [MASK] ?,absolutely . what theater are you interested in hearing showtimes for ?
4465,there is [MASK] [MASK] [MASK] available [MASK] [MASK] that work [MASK] you ?,"there is a 10:15 show available , would that work for you ?"
4466,i [MASK] purchased your tickets [MASK] recommendations? you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4467,[MASK] i get Maine? [MASK] [MASK] [MASK] zootopia [MASK] 3d [MASK] 2 tickets tomorrow [MASK] [MASK] pm,"can i get tickets for seattle , zootopia in 3d , 2 tickets tomorrow at 9 pm"
4468,i [MASK] purchased [MASK] tickets [MASK] about? you and enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
4469,husband [MASK] sorry i want [MASK] pre [MASK] [MASK] [MASK] [MASK] [MASK] [MASK],i am sorry i want to pre order for 3\/18 not 3\/15 :)
4470,[MASK] that works [MASK] Invade [MASK] successfully preordered [MASK] tickets [MASK] [MASK] [MASK] show [MASK] enjoy [MASK],ok that works . i have successfully preordered 2 tickets to the 2:50 show ! enjoy !
4471,[MASK] [MASK] theater [MASK] fresno [MASK] playing zootopia ?,hi what theater in fresno is playing zootopia ?
